date,year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
13-Aug-2022,2022,USA,snorkeling,M,10,no,2022-08-13 00:00:00,13-Aug-2022,8,Summer
25-Jul-2022,2022,USA,wading,M,33,no,2022-07-25 00:00:00,25-Jul-2022,7,Summer
20-Jul-2022,2022,USA,surfing,M,16,no,2022-07-20 00:00:00,20-Jul-2022,7,Summer
19-Jul-2022,2022,USA,surfing,F,15,no,2022-07-19 00:00:00,19-Jul-2022,7,Summer
17-Jul-2022,2022,USA,fishing,M,15,no,2022-07-17 00:00:00,17-Jul-2022,7,Summer
13-Jul-2022,2022,USA,surfing,M,41,no,2022-07-13 00:00:00,13-Jul-2022,7,Summer
10-Jul-2022,2022,USA,surfing,M,30,no,2022-07-10 00:00:00,10-Jul-2022,7,Summer
03-Jul-2022,2022,USA,surfing,M,28,no,2022-07-03 00:00:00,03-Jul-2022,7,Summer
01-Jul-2022,2022,Egypt,snorkeling,F,40,yes,2022-07-01 00:00:00,01-Jul-2022,7,Summer
01-Jul-2022,2022,Egypt,swimming,F,68,yes,2022-07-01 00:00:00,01-Jul-2022,7,Summer
30-Jun-2022,2022,USA,swimming,M,15,no,2022-06-30 00:00:00,30-Jun-2022,6,Summer
29-Jun-2022,2022,USA,swimming,F,35,no,2022-06-29 00:00:00,29-Jun-2022,6,Summer
28-Jun-2022,2022,South Africa,swimming,M,15,yes,2022-06-28 00:00:00,28-Jun-2022,6,Summer
22-Jun-2022,2022,USA,swimming,M,62,no,2022-06-22 00:00:00,22-Jun-2022,6,Summer
01-Jun-2022,2022,Australia,swimming,F,15,no,2022-06-01 00:00:00,01-Jun-2022,6,Summer
27-May-2022,2022,Australia,surfing,M,15,no,2022-05-27 00:00:00,27-May-2022,5,Spring
20-May-2022,2022,Australia,diving,M,20,no,2022-05-20 00:00:00,20-May-2022,5,Spring
03-May-2022,2022,USA,fishing,M,15,no,2022-05-03 00:00:00,03-May-2022,5,Spring
12-Apr-2022,2022,USA,swimming,M,17,no,2022-04-12 00:00:00,12-Apr-2022,4,Spring
